Gender,Early College HS?,HS Rank,GPA at Graduation,Credits Transferred,Cal 1 Final Grade (MATH 1411),Cal 2 Final Grade (MATH 1312),Statics Final Grade (MECH 1321),Chemistry Final Grade (CHEM 1305),degree_completion
0,0,101.0,0.0,7,3,4,2,1,0
1,0,98.0,3.54,74,0,0,0,0,1
0,0,85.0,0.0,72,0,0,0,0,0
1,0,85.0,0.0,52,0,0,-1,0,0
1,0,85.0,3.96,64,0,0,4,0,1
1,0,193.0,0.0,0,4,0,0,4,0
1,0,85.0,0.0,0,0,0,0,0,0
1,0,94.0,0.0,6,3,1,2,3,0
1,0,214.0,0.0,0,3,3,3,3,0
0,0,443.0,0.0,6,0,0,0,-1,0
1,0,3.0,3.42,16,0,2,2,4,0
0,0,85.0,2.33,19,0,0,0,0,1
1,0,274.0,0.0,0,4,4,3,4,0
1,0,436.0,0.0,0,0,0,0,-1,0
1,0,3.0,3.65,43,3,4,4,3,1
1,0,37.0,3.59,36,0,0,0,0,1
1,1,65.0,0.0,60,0,4,2,0,0
1,0,79.0,2.56,40,0,4,4,0,1
1,1,12.0,3.39,60,2,2,4,4,1
1,0,143.0,0.0,0,0,0,0,0,0
1,0,85.0,0.0,34,0,0,0,0,0
1,0,340.0,0.0,0,0,0,0,0,0
1,0,383.0,0.0,0,0,0,0,-1,0
1,0,85.0,0.0,75,0,0,0,0,0
1,0,104.0,0.0,70,0,0,0,0,0
0,0,85.0,0.0,0,0,0,0,0,0
1,0,66.0,3.83,53,0,3,4,0,1
1,0,46.0,0.0,6,3,3,2,2,0
1,0,54.0,0.0,15,2,0,0,4,0
1,0,138.0,0.0,56,-1,0,0,0,0
1,0,74.0,0.0,0,0,0,0,1,0
1,0,31.0,0.0,0,0,0,0,0,0
0,0,302.0,0.0,27,3,2,0,0,0
1,0,87.0,0.0,24,2,4,4,3,0
1,0,48.0,0.0,10,0,0,0,0,0
1,0,242.0,0.0,6,3,4,4,3,0
1,0,252.0,0.0,0,0,0,0,0,0
1,0,349.0,0.0,0,0,0,0,0,0
1,0,492.0,0.0,0,3,4,0,1,0
0,0,63.0,3.77,15,4,4,4,3,1
1,0,223.0,0.0,7,-1,0,0,0,0
1,0,194.0,0.0,0,3,3,2,2,0
1,0,347.0,0.0,46,0,0,4,0,0
0,0,45.0,0.0,22,2,3,2,3,0
1,0,132.0,0.0,0,0,0,1,1,0
1,0,95.0,0.0,4,0,4,-1,-1,0
1,0,85.0,3.74,0,4,4,3,0,1
1,0,208.0,0.0,0,0,0,0,2,0
1,0,13.0,3.86,71,0,0,0,0,1
1,1,53.0,0.0,56,0,4,2,0,0
1,0,57.0,3.03,7,4,3,4,3,1
1,0,268.0,0.0,0,2,0,0,0,0
1,0,91.0,2.57,0,0,0,0,0,0
0,0,565.0,0.0,0,2,4,2,-1,0
1,0,29.0,0.0,0,3,0,0,1,0
1,0,382.0,0.0,0,4,4,3,0,0
0,0,11.0,3.55,19,0,3,4,3,1
1,0,23.0,3.64,65,0,0,0,0,1
1,0,202.0,0.0,55,0,0,0,0,0
1,0,85.0,3.02,0,3,2,4,3,1
0,0,104.0,3.25,0,4,4,4,2,1
1,0,239.0,0.0,0,0,0,0,4,0
1,0,85.0,0.0,67,0,0,0,0,0
1,0,30.0,3.94,32,0,0,4,4,1
1,0,64.0,0.0,61,0,4,0,0,0
1,0,85.0,3.94,44,0,0,4,0,1
1,0,50.0,0.0,0,-1,0,0,3,0
0,0,125.0,2.88,45,2,4,2,2,1
1,0,85.0,0.0,7,0,0,0,0,0
1,0,85.0,0.0,0,0,0,0,0,0
1,0,11.0,3.19,75,0,0,0,0,1
1,0,112.0,0.0,0,3,0,0,0,0
1,0,85.0,3.31,46,0,0,4,0,1
0,0,44.0,3.47,62,0,0,0,0,1
1,0,350.0,0.0,0,4,4,3,3,0
1,0,117.0,2.86,63,0,0,0,0,0
1,0,85.0,3.64,71,0,0,0,0,1
1,0,4.0,2.94,37,3,1,0,0,0
1,0,96.0,0.0,27,3,-1,0,0,0
1,0,113.0,0.0,71,0,0,0,0,0
1,0,6.0,3.43,62,0,0,0,0,1
0,0,139.0,0.0,0,2,4,1,1,0
1,0,279.0,3.08,55,0,0,4,0,1
1,1,16.0,0.0,66,0,0,0,0,0
1,0,127.0,0.0,7,4,2,0,0,0
1,0,94.0,0.0,0,-1,0,0,0,0
1,0,75.0,0.0,0,1,0,0,0,0
1,0,1.0,3.62,72,0,0,0,0,1
1,0,171.0,3.4,0,4,4,3,0,1
1,0,85.0,0.0,70,0,0,0,0,0
1,0,85.0,0.0,0,4,3,0,0,0
1,0,85.0,3.21,141,0,0,0,0,1
